Province/State,Country/Region,Lat,Long,1/22/20,2/22/20,3/22/20,4/22/20,5/22/20,6/22/20,7/22/20,8/22/20,9/22/20,10/22/20,11/22/20,12/22/20,1/22/21,2/22/21,3/22/21,4/22/21,5/22/21,6/22/21,7/22/21,8/22/21,9/22/21,10/22/21,11/12/21
,Finland,61.92411,25.748151,0,1,626,4129,6537,7144,7362,7906,9195,14255,21639,33717,41915,54132,72073,85077,91405,94489,101630,122046,137594,153156,167119
,France,46.2276,2.2137,0,12,16533,157603,181444,194693,206641,263129,485929,1008483,2142417,2488889,3002910,3588972,4268711,5367544,5538938,5694975,5856432,6490758,6805130,6937872,7079005
,Gabon,-0.8037,11.6094,0,0,5,166,1728,4739,6588,8388,8704,8901,9131,9420,10278,13884,18078,22228,24107,24885,25309,25667,28726,34601,36587
,Gambia,13.4432,-15.3101,0,0,1,10,25,41,146,2437,3540,3659,3726,3791,3958,4554,5255,5820,5968,6045,7161,9439,9900,9956,9980
,Georgia,42.3154,43.3569,0,0,54,416,723,908,1073,1394,3913,22803,104732,212526,251974,268502,277650,300264,336840,360055,395621,514744,600412,684337,775826
,Germany,51.165691,10.451526,0,16,24873,150648,179710,191768,204276,233861,277412,403874,932367,1570371,2125261,2399499,2678262,3254609,3653019,3731304,3758425,3876041,4173357,4462324,5002730
,Ghana,7.9465,-1.0232,0,0,23,1154,6486,14154,29672,43325,46062,47538,50874,53954,59480,80759,89682,91928,93583,95236,99160,114584,125830,129592,130649
,Greece,39.0742,21.8243,0,0,624,2408,2873,3287,4077,8381,15928,28216,91619,132430,151041,180672,238830,326395,388929,418943,469042,559186,638921,711128,821900
,Grenada,12.1165,-61.679,0,0,1,15,22,23,23,24,24,27,41,103,139,148,154,159,161,161,164,222,4356,5809,5863
,Guatemala,15.7835,-90.2308,0,0,19,316,2743,13769,41135,67856,86623,103172,118629,133601,152956,171289,188119,218145,247106,282713,344221,439253,537987,593459,609136
,Guinea,9.9456,-9.6966,0,0,2,761,3067,4988,6747,8932,10387,11635,12826,13578,14262,15427,18945,21745,22988,23543,24823,28802,30303,30626,30715
,Guinea-Bissau,11.8037,-15.1804,0,0,0,50,1114,1556,1954,2149,2324,2403,2421,2447,2510,3115,3568,3721,3749,3834,4117,5518,6093,6131,6301
,Guyana,4.860416,-58.93018,0,0,19,67,127,205,350,925,2437,3877,5133,6216,7143,8427,9668,12234,16014,19234,21733,24336,30186,34877,36652
,Haiti,18.9712,-72.2852,0,0,2,57,663,5077,7100,8016,8624,8979,9214,9771,10963,12309,12714,12944,13624,17061,19627,20689,21431,23406,24543
,Holy See,41.9029,12.4534,0,0,1,9,12,12,12,12,12,27,27,27,27,27,27,27,27,27,27,27,27,27,27
,Honduras,15.2,-86.2419,0,0,26,510,3477,13356,36102,53983,72306,91509,104435,117588,139182,165737,183280,204828,232141,255117,285375,326830,361527,373838,376841
,Hungary,47.1625,19.5033,0,0,131,2168,3678,4102,4366,5133,19499,52212,174618,306368,356973,405646,580642,760967,801672,807684,809016,810781,819021,843825,939784
,Iceland,64.9631,-19.0208,0,0,568,1785,1803,1815,1840,2058,2419,4268,5277,5667,5981,6049,6119,6379,6555,6630,6967,10115,11558,12899,15321
,India,20.593684,78.96288,0,3,396,21370,124794,440215,1238798,3044940,5646010,7761312,9139865,10099066,10639684,11016434,11686796,16263695,26530132,30028709,31293062,32449306,33563421,34159562,34426036
,Indonesia,-0.7893,113.9213,0,0,514,7418,20796,46845,91751,151498,252923,377541,497668,678125,965283,1288833,1465928,1626812,1769940,2018113,3033339,3979456,4198678,4238594,4250157
,Iran,32.427908,53.688046,0,28,21638,85996,131652,207525,281413,356792,429193,550757,854361,1170743,1360852,1582275,1808422,2335905,2823887,3117336,3623840,4677114,5477229,5844589,6027269
,Iraq,33.223191,43.679291,0,0,233,1631,3964,32676,99865,201050,327580,442164,535321,586503,612092,671801,798547,1010304,1164149,1298703,1526943,1825089,1984399,2043963,2067797
,Ireland,53.1424,-7.6921,0,0,906,16671,24506,25383,25819,27908,33444,54476,70461,81228,184279,215743,231119,245310,258363,269495,289139,337117,379366,425725,490001
,Israel,31.046051,34.851612,0,1,1080,14619,16643,21194,56484,102040,199138,308601,329316,382487,589028,754998,828764,837807,839308,840079,856986,990524,1247633,1321894,1336587
,Italy,41.87194,12.56738,0,62,59138,187327,228658,238720,245032,258136,300897,465726,1408868,1977370,2441854,2818863,3400877,3920945,4188190,4254294,4302393,4484613,4645853,4733557,4843957
,Jamaica,18.1096,-77.2975,0,0,19,233,544,665,816,1346,5270,8600,10284,12354,14658,21679,35896,44502,47899,49735,51542,61282,80959,87970,90005
,Japan,36.204824,138.252924,2,137,1104,12037,16385,17812,27107,61911,79776,95113,132931,203639,357750,426292,457601,552818,715219,787305,857725,1308422,1688142,1719980,1724573
,Jordan,31.24,36.51,0,0,112,435,700,1042,1120,1576,5679,46441,183429,279892,318911,368278,544724,697487,726432,747504,763106,789474,816574,849000,888435
,Kazakhstan,48.0196,66.9237,0,0,61,2135,7919,18231,75153,126243,138542,146288,167341,193503,222701,257800,284138,352988,427873,468398,575267,811052,944733,1005130,1036373
,Kenya,-0.0236,37.9062,0,0,15,303,1161,4797,14805,32118,37218,47212,77372,94768,99769,104306,122040,154392,168108,179876,195111,229009,247358,252499,254215
,Kiribati,-3.3704,-168.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
,"Korea, South",35.907757,127.766922,1,433,8961,10694,11165,12484,13938,17399,23216,25698,31004,52550,74692,87681,99421,117458,135929,152545,185733,237782,292699,350476,393042
,Kosovo,42.602636,20.902977,0,0,31,604,1004,2169,6286,12337,15208,17422,34295,49169,57317,66480,80295,102720,106770,107247,107954,129309,159488,160606,160927
,Kuwait,29.31166,47.481766,0,0,188,2248,19564,40291,61185,79957,100683,119420,140056,148507,160367,184989,220455,262766,298223,342929,389868,408245,411316,412481,412960
,Kyrgyzstan,41.20438,74.766098,0,0,14,612,1350,3356,28980,42889,45542,54006,69581,79429,83796,85929,87462,93006,102186,116546,153878,173920,177941,180348,182197
,Laos,19.85627,102.495496,0,0,0,19,19,19,19,22,23,24,25,41,41,45,49,94,1782,2067,4119,12469,19952,34518,52175
,Latvia,56.8796,24.6032,0,0,139,761,1030,1111,1197,1333,1560,3958,13120,32339,59586,81793,97586,113561,130712,136975,138344,141045,151917,197389,238153
,Lebanon,33.8547,35.8623,0,1,248,682,1086,1603,3104,12191,30852,67027,116476,160979,272461,356614,441014,516600,538218,543698,552871,592156,619950,636685,650655
,Lesotho,-29.61,28.2336,0,0,0,0,2,12,359,1015,1424,1923,2086,2546,7555,10466,10538,10723,10815,11128,12679,14371,14395,21575,21688
,Liberia,6.428055,-9.429499,0,0,3,101,240,626,1108,1285,1336,1385,1554,1788,1901,1988,2042,2086,2142,3109,5404,5527,5915,5811,5818
,Libya,26.3351,17.228331,0,0,0,59,72,595,2176,10437,29446,52620,77823,95706,112540,130212,152510,174216,182899,191253,227433,295254,334049,352881,364076
,Liechtenstein,47.14,9.55,0,0,46,82,83,82,87,100,116,326,1151,1891,2500,2624,2711,2940,3088,3121,3172,3341,3544,3623,3846
,Lithuania,55.1694,23.8813,0,0,111,1250,1598,1796,1946,2588,3854,8661,47008,117086,174922,194333,209340,237950,270376,278466,280296,293767,319281,382454,439373
,Luxembourg,49.8153,6.1296,0,0,798,3654,3981,4121,5854,7762,8016,12333,29762,44809,49438,54172,59497,65813,69545,70547,73309,74985,77552,80603,84248
,MS Zaandam,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
,Madagascar,-18.766947,46.869107,0,0,3,121,448,1640,8162,14277,16136,16810,17341,17633,18301,19831,22616,34069,40780,42137,42561,42845,42898,43622,43672
,Malawi,-13.2543,34.3015,0,0,0,23,82,749,3302,5382,5739,5874,6003,6248,17365,30942,33270,33989,34274,34996,46417,59471,61433,61747,61841
,Malaysia,4.210484,101.975766,0,22,1306,5532,7137,8587,8831,9257,10358,23804,54775,97389,176180,285761,334156,384688,505115,705762,964918,1555093,2142924,2420222,2535338
,Maldives,3.2028,73.2207,0,0,13,86,1274,2217,3103,6660,9818,11358,12608,13524,14830,18930,22662,27084,54365,72294,76454,79959,84017,86605,89529
